GN0001BA1,NULL,1,GN
GN0202BA1,NULL,2,GN
GN0339BA1,NULL,3,GN
GN0449BA1,NULL,4,GN
GN0705BA1,NULL,7,GN
GN0781BA1,NULL,8,GN
GN0823BA1,NULL,9,GN
GN0085BA1,NULL,11,GN
GN0116BA1,NULL,13,GN
GN0146BA1,NULL,15,GN
GN0158BA1,NULL,16,GN
GN0168BA1,NULL,17,GN
GN0190BA1,NULL,19,GN
GN0203BA1,NULL,20,GN
GN0230BA1,NULL,21,GN
GN0241BA1,NULL,22,GN
GN0253BA1,NULL,23,GN
GN5140BA1,A94WBFR ,24,GN
GN0287BA1,NULL,26,GN
GN0340BA1,NULL,30,GN
GN0371BA1,NULL,33,GN
GN0380BA1,NULL,34,GN
GN0389BA1,NULL,35,GN
GN0396BA1,NULL,36,GN
GN0407BA1,NULL,37,GN
GN0432BA1,NULL,39,GN
GN0050BA1,NULL,40,GN
GN0457BA1,NULL,41,GN
GN0465BA1,NULL,42,GN
GN0473BA1,NULL,43,GN
GN0482BA1,NULL,44,GN
GN0499BA1,NULL,46,GN
GN0507BA1,NULL,47,GN
GN0517BA1,NULL,48,GN
GN0526BA1,NULL,49,GN
GN0543BA1,NULL,51,GN
GN0558BA1,NULL,53,GN
GN0574BA1,NULL,55,GN
GN0582BA1,NULL,56,GN
GN0590BA1,NULL,57,GN
GN0600BA1,NULL,58,GN
GN0609BA1,NULL,59,GN
GN0620BA1,NULL,60,GN
GN0635BA1,NULL,62,GN
GN0642BA1,NULL,63,GN
GN0651BA1,NULL,64,GN
GN0661BA1,NULL,65,GN
GN0670BA1,NULL,66,GN
GN0679BA1,NULL,67,GN
GN0688BA1,NULL,68,GN
GN0697BA1,NULL,69,GN
GN0706BA1,NULL,70,GN
GN0711BA1,NULL,71,GN
GN0717BA1,NULL,72,GN
GN0727BA1,NULL,73,GN
GN0762BA1,NULL,78,GN
GN0771BA1,NULL,79,GN
GN0787BA1,NULL,81,GN
GN0793BA1,NULL,82,GN
GN0815BA1,NULL,85,GN
GN0820BA1,NULL,86,GN
GN0822BA1,NULL,87,GN
GN0824BA1,NULL,90,GN
GN0825BA1,NULL,91,GN
GN0827BA1,NULL,92,GN
GN0828BA1,NULL,93,GN
GN0829BA1,NULL,94,GN
GN0830BA1,NULL,95,GN
GN0831BA1,NULL,96,GN
GN0833BA1,NULL,97,GN
GN0836BA1,NULL,99,GN
GN0002BA1,#N/A,100,GN
GN0077BA1,NULL,101,GN
GN0078BA1,NULL,102,GN
GN0079BA1,NULL,103,GN
GN0080BA1,NULL,104,GN
GN0082BA1,NULL,105,GN
GN0083BA1,NULL,106,GN
GN0084BA1,NULL,109,GN
GN0086BA1,NULL,110,GN
GN0087BA1,NULL,112,GN
GN0092BA1,NULL,113,GN
GN0093BA1,NULL,114,GN
GN0094BA1,NULL,115,GN
GN0095BA1,NULL,117,GN
GN0096BA1,NULL,118,GN
GN0097BA1,NULL,119,GN
GN0099BA1,NULL,120,GN
