1111,100000
1112,100000
1114,100000
11171,100000
11173,100000
11174,100000
1131,100000
1136,105000
1151,100000
1161,100000
1165,100000
1170,200200
1180,102000
1181,102000
1181A,102000
1182,102000
1183,102000
1184,102000
1185,102000
1185A,102000
1186,102000
1186A,102000
1187,102000
11881,102000
1188A,105099
1191,101000
1194,340110
11951,390900
1196,
1197,101000
1198,101000
12001,380000
12002,380010
12002A,380000
12003,380010
12005,103310
12006,103400
12008,103200
12010,103000
12011,103010
1381A,105099
1381B,105099
141,105020
142,100000
151,104020
1551,105070
1551A,290100
1553,105070
1553A,290100
1553B,290100
1555,105071
15571,105070
15572,105070
15575,105070
15576,105070
157,105030
165,105050
183,105099
184,105099
189,105099
191P,380100
191V,380300
193P,380110
193V,380310
196P1,380110
196P2,104000
2011,999999
2012,105010
20125,102000
2017,999999
20185,105020
208,340120
211,210200
2112,210600
2112R,210600
2114,250000
2115,210900
2116,210200
21165,999999
2118,230100
2118R,200141
211R,200142
213,250250
2131,
2132,250250
21395,280160
21405,210300
21406,210300
21407,280080
21450,210310
21460,220200
21465,220200
21499,220100
215,240100
21501,240100
2151,240200
2155d,230200
2157B,200401
2157C,200400
2157F,200402
2157K,200403
2157L,200404
2157T,200405
2158,210800
2158A,210700
217,270100
218,
2185,
2211,281100
2213,280011
2216,280010
2231,280020
2233,280021
2237,280022
2241,350100
2245,104000
2251,280090
2252,280100
2271,280030
22711,280030
22713,280080
22715,280110
22717,280040
2271R,
22721A,280050
22721B,280050
22723,280180
22723A,280350
22724B,280360
22724C,999999
22724E,280315
22724G,300160
22724G1,300170
22724J,280315
22724K,280200
22724L,280210
22724M,280210
22724N,280310
22724P,320650
22725,280220
2275D,210300
2276,280060
2276R,105010
2277,280240
2278,280260
2279,280070
2291,280150
2295,280250
230,300100
2303,300110
2305,300120
2307,300130
2308,300140
2314,300150
2321,300151
23215,300151
2322,300120
2325,300190
2341,310210
2342,310210
23423,310240
23425,310250
23431,310230
2344,310320
2351,310260
2354,310220
2355,310270
2381,310290
2384,310300
23853,310300
2386,310280
2387,310280
2391,310310
2396,310340
2412,320100
2412B,320101
2413,350120
2422,320130
2423,320120
2424,320110
2427,320800
2431,320140
2433,320141
2435,320150
24353,320180
24355,320190
24361,320160
2437,320142
2451,320170
24514,320200
24515,310330
2452,350150
24521,320170
24522,220400
24524,350130
2453,350160
24531,320210
24533,320230
2457,320240
